"Technology","Year","Scenario","Value","Unit"
"CNG",2048,"SSP2",359790,"Vehicles"
"EV",2048,"SSP2",159121125,"Vehicles"
"FCV",2048,"SSP2",112835,"Vehicles"
"FFV",2048,"SSP2",19987374,"Vehicles"
"HEV",2048,"SSP2",10748574,"Vehicles"
"ICEV-D",2048,"SSP2",1949787,"Vehicles"
"ICEV-G",2048,"SSP2",134342497,"Vehicles"
"CNG",2049,"SSP2",362541,"Vehicles"
"EV",2049,"SSP2",163521416,"Vehicles"
"FCV",2049,"SSP2",113684,"Vehicles"
"FFV",2049,"SSP2",20141795,"Vehicles"
"HEV",2049,"SSP2",10825061,"Vehicles"
"ICEV-D",2049,"SSP2",1965085,"Vehicles"
"ICEV-G",2049,"SSP2",131375127,"Vehicles"
"CNG",2050,"SSP2",365123,"Vehicles"
"EV",2050,"SSP2",167894407,"Vehicles"
"FCV",2050,"SSP2",114526,"Vehicles"
"FFV",2050,"SSP2",20280746,"Vehicles"
"HEV",2050,"SSP2",10913742,"Vehicles"
"ICEV-D",2050,"SSP2",1978140,"Vehicles"
"ICEV-G",2050,"SSP2",128440731,"Vehicles"
"CNG",2019,"SSP5",246923,"Vehicles"
"EV",2019,"SSP5",1948884,"Vehicles"
"FCV",2019,"SSP5",16697,"Vehicles"
"FFV",2019,"SSP5",19243555,"Vehicles"
"HEV",2019,"SSP5",5237443,"Vehicles"
"ICEV-D",2019,"SSP5",1274184,"Vehicles"
"ICEV-G",2019,"SSP5",231664911,"Vehicles"
"CNG",2020,"SSP5",261541,"Vehicles"
"EV",2020,"SSP5",2824174,"Vehicles"
"FCV",2020,"SSP5",23408,"Vehicles"
"FFV",2020,"SSP5",19595663,"Vehicles"
"HEV",2020,"SSP5",5730913,"Vehicles"
"ICEV-D",2020,"SSP5",1323602,"Vehicles"
"ICEV-G",2020,"SSP5",234095621,"Vehicles"
"CNG",2021,"SSP5",275171,"Vehicles"
"EV",2021,"SSP5",3783134,"Vehicles"
"FCV",2021,"SSP5",30110,"Vehicles"
"FFV",2021,"SSP5",19925040,"Vehicles"
"HEV",2021,"SSP5",6216143,"Vehicles"
"ICEV-D",2021,"SSP5",1372637,"Vehicles"
"ICEV-G",2021,"SSP5",237016479,"Vehicles"
"CNG",2022,"SSP5",287423,"Vehicles"
"EV",2022,"SSP5",4998792,"Vehicles"
"FCV",2022,"SSP5",36554,"Vehicles"
"FFV",2022,"SSP5",20204703,"Vehicles"
"HEV",2022,"SSP5",6669081,"Vehicles"
"ICEV-D",2022,"SSP5",1417869,"Vehicles"
"ICEV-G",2022,"SSP5",239768099,"Vehicles"
"CNG",2023,"SSP5",298739,"Vehicles"
"EV",2023,"SSP5",6596872,"Vehicles"
"FCV",2023,"SSP5",42791,"Vehicles"
"FFV",2023,"SSP5",20455259,"Vehicles"
"HEV",2023,"SSP5",7097145,"Vehicles"
"ICEV-D",2023,"SSP5",1460758,"Vehicles"
"ICEV-G",2023,"SSP5",242194768,"Vehicles"
"CNG",2024,"SSP5",309187,"Vehicles"
"EV",2024,"SSP5",8366950,"Vehicles"
"FCV",2024,"SSP5",48821,"Vehicles"
"FFV",2024,"SSP5",20685336,"Vehicles"
"HEV",2024,"SSP5",7500571,"Vehicles"
"ICEV-D",2024,"SSP5",1501382,"Vehicles"
"ICEV-G",2024,"SSP5",244497892,"Vehicles"
"CNG",2025,"SSP5",318803,"Vehicles"
"EV",2025,"SSP5",10413764,"Vehicles"
"FCV",2025,"SSP5",54640,"Vehicles"
"FFV",2025,"SSP5",20896427,"Vehicles"
"HEV",2025,"SSP5",7880821,"Vehicles"
"ICEV-D",2025,"SSP5",1540298,"Vehicles"
"ICEV-G",2025,"SSP5",246569193,"Vehicles"
"CNG",2026,"SSP5",327674,"Vehicles"
"EV",2026,"SSP5",12952747,"Vehicles"
"FCV",2026,"SSP5",60260,"Vehicles"
"FFV",2026,"SSP5",21078819,"Vehicles"
"HEV",2026,"SSP5",8240939,"Vehicles"
"ICEV-D",2026,"SSP5",1576923,"Vehicles"
"ICEV-G",2026,"SSP5",248362997,"Vehicles"
"CNG",2027,"SSP5",335815,"Vehicles"
"EV",2027,"SSP5",16288321,"Vehicles"
"FCV",2027,"SSP5",65648,"Vehicles"
"FFV",2027,"SSP5",21234568,"Vehicles"
"HEV",2027,"SSP5",8579976,"Vehicles"
"ICEV-D",2027,"SSP5",1613532,"Vehicles"
"ICEV-G",2027,"SSP5",249408893,"Vehicles"
"CNG",2028,"SSP5",343202,"Vehicles"
"EV",2028,"SSP5",20408736,"Vehicles"
"FCV",2028,"SSP5",70795,"Vehicles"
"FFV",2028,"SSP5",21369851,"Vehicles"
"HEV",2028,"SSP5",8898953,"Vehicles"
"ICEV-D",2028,"SSP5",1648729,"Vehicles"
"ICEV-G",2028,"SSP5",249712913,"Vehicles"
"CNG",2029,"SSP5",350125,"Vehicles"
"EV",2029,"SSP5",25574283,"Vehicles"
"FCV",2029,"SSP5",75753,"Vehicles"
"FFV",2029,"SSP5",21485378,"Vehicles"
"HEV",2029,"SSP5",9205270,"Vehicles"
"ICEV-D",2029,"SSP5",1685195,"Vehicles"
"ICEV-G",2029,"SSP5",249003591,"Vehicles"
"CNG",2030,"SSP5",356428,"Vehicles"
