"Technology","Size","Model_year","Scenario","Simulation","Value","Unit"
"ICEV-G","Light truck",2031,"Default","No weight control",2176.62912280064,"kg"
"ICEV-G","Car",2032,"Default","No weight control",1674.09376769425,"kg"
"ICEV-G","Light truck",2032,"Default","No weight control",2182.39559618997,"kg"
"ICEV-G","Car",2033,"Default","No weight control",1679.94435344125,"kg"
"ICEV-G","Light truck",2033,"Default","No weight control",2188.16136117219,"kg"
"ICEV-G","Car",2034,"Default","No weight control",1685.79383544543,"kg"
"ICEV-G","Light truck",2034,"Default","No weight control",2193.92642081885,"kg"
"ICEV-G","Car",2035,"Default","No weight control",1691.64222005789,"kg"
"ICEV-G","Light truck",2035,"Default","No weight control",2199.69077817962,"kg"
"ICEV-G","Car",2036,"Default","No weight control",1697.48951356947,"kg"
"ICEV-G","Light truck",2036,"Default","No weight control",2205.45443628245,"kg"
"ICEV-G","Car",2037,"Default","No weight control",1703.33572221153,"kg"
"ICEV-G","Light truck",2037,"Default","No weight control",2211.21739813387,"kg"
"ICEV-G","Car",2038,"Default","No weight control",1709.18085215676,"kg"
"ICEV-G","Light truck",2038,"Default","No weight control",2216.97966671914,"kg"
"ICEV-G","Car",2039,"Default","No weight control",1715.02490951995,"kg"
