"Component","Weight","Relative","Size","Technology","Unit","y_min","y_max"
"Powertrain",362.053762109382,0.21657914023965,"Car","PHEV40","kg",362.053762109382,399.714735878889
"Transmission",71.75139883189,0.0429214053168935,"Car","PHEV40","kg",71.75139883189,71.1975047700604
"Battery Lead-Acid",10.024391377,0.00599655159832451,"Car","PHEV40","kg",10.024391377,16.32932532
"EV Battery",76.6945709911077,0.0458783915116026,"Car","PHEV40","kg",74.5762711915562,135.593220348284
"Traction Motor",49.2692936320616,0.0294726981785179,"Car","PHEV40","kg",49.2692936320616,62.6538040516379
"Generator",49.2692936320616,0.0294726981785179,"Car","PHEV40","kg",49.2692936320616,62.6538040516379
"Electronic Controller",27.2938116144521,0.0163270510403787,"Car","PHEV40","kg",27.2938116144521,32.8534446313816
"Fluids",32.3634546987308,0.0193596916463427,"Car","PHEV40","kg",32.3634546987308,43.045915913
"Wheels",36.2873896,0.0217069741115819,"Car","PHEV40","kg",36.2873896,54.4310844
"Total",1671.6926741364,1,"Car","PHEV40","kg",1669.57437433685,2074.59091439137
"Glider",1078.32290337257,0.660899831372487,"Car","FCV","kg",1078.32290337257,1299.99094541626
"Powertrain",290.857680661603,0.178265519077294,"Car","FCV","kg",290.857680661603,354.696532656383
"Transmission",43.1434086812885,0.0264424240949709,"Car","FCV","kg",43.1434086812885,54.4650320446274
"Battery Lead-Acid",10.024391377,0.00614390972309903,"Car","FCV","kg",10.024391377,16.32932532
"EV Battery",26.5999999938446,0.0163030345135552,"Car","FCV","kg",26.5999999938446,31.4999999927107
"Traction Motor",64.7151137886614,0.0396636366123813,"Car","FCV","kg",64.7151137886614,83.7923556997061
"Electronic Controller",56.4183041319795,0.0345785548749158,"Car","FCV","kg",56.4183041319795,73.3183119370916
"Fluids",25.2288996396841,0.0154626925436079,"Car","FCV","kg",25.2288996396841,33.974068513
"Wheels",36.2873896,0.0222403971876888,"Car","FCV","kg",36.2873896,54.4310844
"Total",1631.59809124663,1,"Car","FCV","kg",1631.59809124663,2002.49765597978
"Glider",1469.96510860126,0.697533700679684,"Light truck","ICEV-G","kg",1430.99933363756,1560.85445963604
"Powertrain",428.967942665906,0.203555577455454,"Light truck","ICEV-G","kg",456.253442948617,289.40076245827
"Transmission",73.4982561204141,0.0348766853615723,"Light truck","ICEV-G","kg",85.1785308014062,124.296452204899
"Battery Lead-Acid",24.267191795,0.0115153645476504,"Light truck","ICEV-G","kg",24.267191795,17.7469788943696
"Fluids",56.24545388,0.0266898168954887,"Light truck","ICEV-G","kg",56.24545388,45.586033185
"Wheels",54.4310844,0.0258288550601504,"Light truck","ICEV-G","kg",54.4310844,69.490351084
"Total",2107.37503746258,1,"Light truck","ICEV-G","kg",2107.37503746258,2107.37503746258
"Glider",1428.53740402144,0.688450005000735,"Light truck","BEV100","kg",1190.1029485121,1428.53740402144
"Powertrain",32.5574027593724,0.0156902745629224,"Light truck","BEV100","kg",46.8901384764813,32.5574027593724
"Transmission",71.4268709079774,0.0344225005907131,"Light truck","BEV100","kg",70.8394604862464,71.4268709079774
"Battery Lead-Acid",16.32932532,0.00786953429890302,"Light truck","BEV100","kg",16.32932532,16.32932532
"EV Battery",203.007518810918,0.0978346992855255,"Light truck","BEV100","kg",203.007518810918,203.007518810918
"Traction Motor",130.473083367183,0.0628784340149135,"Light truck","BEV100","kg",108.620506781367,130.473083367183
"Electronic Controller",104.268534433903,0.0502497679447266,"Light truck","BEV100","kg",88.8105528173385,104.268534433903
"Fluids",33.974068513,0.0163730033052177,"Light truck","BEV100","kg",33.974068513,33.974068513
"Wheels",54.4310844,0.0262317809963434,"Light truck","BEV100","kg",54.4310844,54.4310844
"Total",2075.00529253379,1,"Light truck","BEV100","kg",1813.00560411745,2075.00529253379
"Glider",1431.09929528356,0.536953404699858,"Light truck","BEV300","kg",1192.31151115408,1431.09929528356
"Powertrain",28.731786476452,0.0107802656478728,"Light truck","BEV300","kg",44.073971851771,28.731786476452
"Transmission",71.5549650396173,0.0268476703383388,"Light truck","BEV300","kg",70.9709234683692,71.5549650396173
"Battery Lead-Acid",16.32932532,0.00612681933107116,"Light truck","BEV300","kg",16.32932532,16.32932532
"EV Battery",724.222945279693,0.271730953618169,"Light truck","BEV300","kg",481.203007551807,751.879699299694
"Traction Motor",196.537637039497,0.0737416010949212,"Light truck","BEV300","kg",158.028589589569,196.537637039497
"Electronic Controller",108.339529592464,0.0406493661690526,"Light truck","BEV300","kg",91.8785491687176,108.339529592464
"Fluids",33.974068513,0.0127471879971453,"Light truck","BEV300","kg",33.974068513,33.974068513
"Wheels",54.4310844,0.0204227311035705,"Light truck","BEV300","kg",54.4310844,54.4310844
"Total",2665.22063694428,1,"Light truck","BEV300","kg",2143.20103101731,2692.87739096428
"Glider",1417.51592560837,0.695884934409445,"Light truck","FFV","kg",1179.70265078702,1783.40468046264
"Powertrain",413.662124867021,0.20307443142638,"Light truck","FFV","kg",376.131129781163,330.66418916334
"Transmission",70.8757969461373,0.034794247047286,"Light truck","FFV","kg",70.2203950865104,142.018926401894
